AmountMst	CategoryId	DisplayValue	dataAreaId
8823.57	82017	13100	6005
12000	75020	13100	6005
9680	81002	13100	6005
1680	81002	13100	6005
3510	81002	13100	6005
5550	81002	13100	6005
8000	75020	13100	6005
-10740	81005	13100-10-120	6005
-2310	81005	13100-10-120	6005
-546	81005	13100-10-120	6005
-2900	81005	13100-10-120	6005
-6670	81005	13100-10-120	6005
-3249	81005	13100-10-120	6005
-3249	81005	13100-10-120	6005
-4714.29	81005	13100-10-120	6005
-1285.71	81005	13100-10-120	6005
-4049	81005	13100-10-120	6005
-3549	81005	13100-10-120	6005
-3549	81005	13100-10-120	6005
-3549	81005	13100-10-120	6005
-3549	81005	13100-10-120	6005
-890	81005	13100-10-120	6005
-2780	82003	13100-10-120	6005
-1440	82003	13100-10-120	6005
-6000	82003	13100-10-120	6005
-200000	81002	13100-10-120	6005
-50000	81002	13100-10-120	6005
-70000	81002	13100-10-120	6005
420000	81002	13100-10-120	6005
50000	81002	13100-10-120	6005
50000	81002	13100-10-120	6005
16000	75125	13100	6005
4053	75105	13100	6005
300	85001	13100	6005
2992.5	85001	13100	6005
300	85001	13100	6005
77799.6	82012	13100	6005
8468.5	75115	13100	6005
5000	80004	13100	6005
5000	80004	13100	6005
13222.8	82012	13100	6005
1362.63	82003	13100	6005
1532.96	82003	13100	6005
4950	82007	13100	6005
-100000	81002	13100-10-120	6005
2800	82002	13100	6005
660	75115	13100	6005
4040	83020	13100	6005
5734.19	83020	13100	6005
12460	81002	13100	6005
20833.33	86001	13100	6005
1532.96	82003	13100	6005
1362.63	82003	13100	6005
420	84003	13100	6005
13800	82004	13100	6005
9260	82004	13100	6005
32000	82007	13100	6005
5000	82016	13100	6005
10000	82015	13100	6005
9500	82015	13100	6005
5000	82012	13100	6005
12500	82006	13100	6005
2000	82008	13100	6005
4000	81005	13100	6005
-2500	82003	13100	6005
5000	82003	13100	6005
-1250	82003	13100	6005
2500	82003	13100	6005
-1750	82003	13100	6005
3500	82003	13100	6005
-2500	82003	13100	6005
5000	82003	13100	6005
5000	82015	13100	6005
12500	82017	13100	6005
4700	82011	13100	6005
2921	80004	13100	6005
1075	82007	13100	6005
4950	82007	13100	6005
1000	82007	13100	6005
8	82010	13100	6005
4741	82010	13100	6005
4741	82010	13100	6005
300	82010	13100	6005
10000	81003	13100	6005
108.18	83001	13100	6005
1.79	83001	13100	6005
108.18	85001	13100	6005
330	83005	13100	6005
330	83005	13100	6005
1086.36	75070	13100	6005
3000	75115	13100	6005
7000	75115	13100	6005
15597.5	75020	13100	6005
5039.6	75065	13100	6005
4000	82011	13100	6005
35000	81003	13100	6005
-420	84003	13100-10-120	6005
420	84003	13100-10-120	6005
2727.27	83010	13100-10-120	6005
2727.27	83010	13100-10-120	6005
2727.27	83010	13100-10-120	6005
319	83005	13100-10-120	6005
319	83005	13100-10-120	6005
319	83005	13100-10-120	6005
519.62	81005	13100-10-120	6005
712.02	82019	13100-10-120	6005
3798.09	83005	13100-10-120	6005
2272.73	83010	13100-10-120	6005
2272.73	83010	13100-10-120	6005
2272.73	83010	13100-10-120	6005
2272.73	83010	13100-10-120	6005
189.75	83005	13100-10-120	6005
189.75	83005	13100-10-120	6005
189.75	83005	13100-10-120	6005
189.75	83005	13100-10-120	6005
712.5	85502	13100-10-120	6005
712.5	85502	13100-10-120	6005
712.5	85502	13100-10-120	6005
712.5	85502	13100-10-120	6005
726.36	81005	13100-10-120	6005
862.35	83005	13100-10-120	6005
